food_id,category,sub_category,food_name,calories_per_100g,common_unit,edible_rate,remark,protein_per_100g,carb_per_100g,fat_per_100g
1,主食类,熟制谷薯,白米饭（蒸/煮）,116,1小碗（150g）≈ 174 kcal,1.0,粳米常规蒸煮，无额外添加,0,0,0
2,主食类,熟制谷薯,糙米饭,112,1小碗（150g）≈ 168 kcal,1.0,糙米蒸煮,0,0,0
3,主食类,熟制谷薯,黑米饭,110,1小碗（150g）≈ 165 kcal,1.0,黑米蒸煮,0,0,0
4,主食类,熟制谷薯,小米饭,114,1小碗（150g）≈ 171 kcal,1.0,小米蒸煮,0,0,0
5,主食类,熟制谷薯,杂粮饭,115,1小碗（150g）≈ 172 kcal,1.0,多种杂粮混合蒸煮,0,0,0
6,主食类,熟制谷薯,糯米饭,116,1小碗（150g）≈ 174 kcal,1.0,糯米蒸煮,0,0,0
7,主食类,熟制谷薯,藜麦饭,120,1小碗（150g）≈ 180 kcal,1.0,藜麦蒸煮,0,0,0
8,主食类,熟制谷薯,蒸红薯,88,1个中等（200g）≈ 176 kcal,1.0,红心红薯清蒸,0,0,0
9,主食类,熟制谷薯,蒸紫薯,82,1个中等（200g）≈ 164 kcal,1.0,紫薯清蒸,0,0,0
10,主食类,熟制谷薯,蒸土豆,77,1个中等（150g）≈ 116 kcal,1.0,土豆清蒸,0,0,0
11,主食类,熟制谷薯,蒸山药,57,1段（100g）≈ 57 kcal,1.0,铁棍山药清蒸,0,0,0
12,主食类,熟制谷薯,蒸芋头,79,1个（100g）≈ 79 kcal,1.0,芋头清蒸,0,0,0
13,主食类,熟制谷薯,清煮莲藕,73,1段（100g）≈ 73 kcal,1.0,清水煮莲藕,0,0,0
14,主食类,熟制谷薯,煮糯玉米（粘玉米）,112.5,1根（200g）≈ 224 kcal,0.6,带棒玉米，可食部为玉米粒,3.55,21.5,1.05
15,主食类,熟制谷薯,白粥,46,1碗（300g）≈ 138 kcal,1.0,大米稀粥,0,0,0
16,主食类,熟制谷薯,小米粥,46,1碗（300g）≈ 138 kcal,1.0,小米稀粥,0,0,0
17,主食类,熟制谷薯,南瓜粥,35,1碗（300g）≈ 105 kcal,1.0,南瓜大米粥,0,0,0
18,主食类,熟制谷薯,八宝粥（无糖）,85,1碗（300g）≈ 255 kcal,1.0,杂豆杂粮粥,0,0,0
19,主食类,熟制谷薯,煮粉丝,110,1份（150g）≈ 165 kcal,1.0,清水泡发煮熟,0,0,0
20,主食类,熟制谷薯,魔芋丝结,20,1盒（200g）≈ 40 kcal,1.0,即食低卡主食,0,0,0
21,主食类,熟制面制品,煮挂面,113,1碗（200g）≈ 226 kcal,1.0,清水煮熟,0,0,0
22,主食类,熟制面制品,煮拉面,118,1碗（200g）≈ 236 kcal,1.0,清水煮熟,0,0,0
23,主食类,熟制面制品,煮乌冬面,120,1碗（200g）≈ 240 kcal,1.0,清水煮熟,0,0,0
24,主食类,熟制面制品,煮米线,92,1碗（200g）≈ 184 kcal,1.0,清水煮熟,0,0,0
25,主食类,熟制面制品,煮河粉,108,1碗（200g）≈ 216 kcal,1.0,清水煮熟,0,0,0
26,主食类,熟制面制品,煮意大利面,112,1份（200g）≈ 224 kcal,1.0,清水煮熟,0,0,0
27,主食类,熟制面制品,煮荞麦面,110,1碗（200g）≈ 220 kcal,1.0,清水煮熟,0,0,0
28,主食类,熟制面制品,凉皮（无调料）,110,1碗（200g）≈ 220 kcal,1.0,纯面皮无麻酱,0,0,0
29,主食类,熟制面制品,豌豆凉粉,38,1碗（200g）≈ 76 kcal,1.0,纯豌豆淀粉制作,0,0,0
30,主食类,熟制面制品,年糕（煮）,154,1份（100g）≈ 154 kcal,1.0,清水煮年糕,0,0,0
31,主食类,熟制面点,白馒头,223,1个（100g）≈ 223 kcal,1.0,小麦粉发酵蒸制,0,0,0
32,主食类,熟制面点,花卷,211,1个（100g）≈ 211 kcal,1.0,葱油花卷,0,0,0
33,主食类,熟制面点,玉米馒头,208,1个（100g）≈ 208 kcal,1.0,玉米面粉混合,0,0,0
34,主食类,熟制面点,杂粮馒头,210,1个（100g）≈ 210 kcal,1.0,多谷物混合,0,0,0
35,主食类,熟制面点,窝头,207,1个（100g）≈ 207 kcal,1.0,玉米面窝头,0,0,0
36,主食类,熟制面点,发糕,215,1块（100g）≈ 215 kcal,1.0,大米发糕,0,0,0
37,主食类,熟制面点,全麦面包,247,1片（40g）≈ 99 kcal,1.0,全麦粉制作,0,0,0
38,主食类,熟制面点,白吐司面包,312,1片（40g）≈ 125 kcal,1.0,精制小麦粉,0,0,0
39,主食类,熟制面点,软欧包,270,1个（100g）≈ 270 kcal,1.0,软式欧包,0,0,0
40,主食类,熟制面点,碱水面包,285,1个（100g）≈ 285 kcal,1.0,德式碱水包,0,0,0
41,主食类,熟制面点,贝果,265,1个（100g）≈ 265 kcal,1.0,原味贝果,0,0,0
42,主食类,熟制面点,恰巴塔,255,1个（100g）≈ 255 kcal,1.0,意式恰巴塔,0,0,0
43,主食类,熟制面点,猪肉白菜水饺,240,1个（20g）≈ 48 kcal,1.0,煮熟后,0,0,0
44,主食类,熟制面点,猪肉包子,230,1个（100g）≈ 230 kcal,1.0,蒸熟后,0,0,0
45,主食类,熟制面点,小笼包,230,1笼（10个200g）≈ 460 kcal,1.0,猪肉馅蒸熟,0,0,0
46,主食类,熟制面点,烧麦,230,1个（50g）≈ 115 kcal,1.0,糯米烧麦,0,0,0
47,主食类,熟制面点,生煎包,285,1个（50g）≈ 143 kcal,1.0,油煎后,0,0,0
48,主食类,熟制面点,馄饨/云吞,210,1碗（15个200g）≈ 420 kcal,1.0,带汤煮熟,0,0,0
49,主食类,熟制面点,油条,386,1根（60g）≈ 232 kcal,1.0,油炸后,0,0,0
50,主食类,熟制面点,葱油饼,310,1张（100g）≈ 310 kcal,1.0,油煎制作,0,0,0
51,主食类,熟制面点,煎制手抓饼,400,1张（120g）≈ 480 kcal,1.0,加油煎制后,0,0,0
52,主食类,熟制面点,韭菜盒子,270,1个（100g）≈ 270 kcal,1.0,油煎制作,0,0,0
53,主食类,熟制面点,猪肉馅饼,265,1个（100g）≈ 265 kcal,1.0,油煎制作,0,0,0
54,主食类,熟制面点,糍粑,253,1块（100g）≈ 253 kcal,1.0,糯米煎制,0,0,0
55,主食类,方便速食,方便面（冲泡后）,140,1包（面饼+调料300g）≈ 420 kcal,1.0,带调料冲泡完成,0,0,0
56,主食类,方便速食,红油面皮（冲泡后）,160,1份（200g）≈ 320 kcal,1.0,带调料拌好,0,0,0
57,主食类,方便速食,螺蛳粉（煮后）,130,1碗（500g）≈ 650 kcal,1.0,全配料煮好带汤,0,0,0
58,主食类,方便速食,酸辣粉（煮后）,125,1碗（400g）≈ 500 kcal,1.0,带调料带汤,0,0,0
59,主食类,方便速食,武汉热干面（拌好）,175,1份（350g）≈ 613 kcal,1.0,带麻酱调料,0,0,0
60,主食类,方便速食,重庆小面（煮后）,150,1碗（400g）≈ 600 kcal,1.0,带汤底调料,0,0,0
61,主食类,方便速食,自热米饭,170,1盒（300g）≈ 510 kcal,1.0,含菜包米饭,0,0,0
62,主食类,方便速食,速食方便粥,50,1杯（300g）≈ 150 kcal,1.0,冲泡完成,0,0,0
63,主食类,方便速食,魔芋米,15,1碗（200g）≈ 30 kcal,1.0,即食低卡,0,0,0
64,主食类,方便速食,魔芋凉皮,18,1盒（200g）≈ 36 kcal,1.0,不含调料,0,0,0
65,主食类,速冻主食,速冻水饺（煮后）,250,10个（200g）≈ 500 kcal,1.0,猪肉白菜馅,0,0,0
66,主食类,速冻主食,速冻包子（蒸后）,230,1个（100g）≈ 230 kcal,1.0,猪肉馅,0,0,0
67,主食类,速冻主食,速冻黑芝麻汤圆（煮后）,260,10个（200g）≈ 520 kcal,1.0,芝麻馅,0,0,0
68,主食类,速冻主食,速冻鲜肉粽（煮后）,230,1个（150g）≈ 345 kcal,1.0,猪肉馅,0,0,0
69,主食类,速冻主食,速冻薯条（油炸后）,420,1份（100g）≈ 420 kcal,1.0,油炸成品,0,0,0
70,主食类,速冻主食,速冻鸡块（油炸后）,320,1份（100g）≈ 320 kcal,1.0,油炸成品,0,0,0
71,主食类,速冻主食,速冻披萨（烤后）,250,1片（100g）≈ 250 kcal,1.0,烤制完成,0,0,0
72,主食类,特色糕点主食,新疆烤馕,305,1个（200g）≈ 610 kcal,1.0,烤制,0,0,0
73,主食类,特色糕点主食,锅盔,300,1个（200g）≈ 600 kcal,1.0,烤制,0,0,0
74,主食类,特色糕点主食,烧饵块,200,1份（150g）≈ 300 kcal,1.0,含酱料,0,0,0
75,主食类,特色糕点主食,粘豆包,230,1个（100g）≈ 230 kcal,1.0,杂粮豆沙馅,0,0,0
76,主食类,特色糕点主食,青团,240,1个（60g）≈ 144 kcal,1.0,豆沙馅,0,0,0
77,主食类,特色糕点主食,甑糕,255,1份（150g）≈ 383 kcal,1.0,糯米蜜枣,0,0,0
78,主食类,特色糕点主食,驴打滚,300,1份（100g）≈ 300 kcal,1.0,黄豆面红糖,0,0,0
79,主食类,特色糕点主食,艾窝窝,235,1个（50g）≈ 118 kcal,1.0,糯米糕点,0,0,0
80,主食类,特色糕点主食,麻薯,275,1个（50g）≈ 138 kcal,1.0,糯米麻薯,0,0,0
81,主食类,特色糕点主食,碱水粽,135,1个（150g）≈ 203 kcal,1.0,纯糯米无馅,0,0,0
82,主食类,特色糕点主食,蛋黄鲜肉粽,240,1个（150g）≈ 360 kcal,1.0,蛋黄五花肉馅,0,0,0
83,蔬菜水果类,熟制蔬菜,清蒸西兰花,33,1份（100g）≈ 33 kcal,1.0,无油清蒸,0,0,0
84,蔬菜水果类,熟制蔬菜,清煮菠菜,28,1份（100g）≈ 28 kcal,1.0,清水煮,0,0,0
85,蔬菜水果类,熟制蔬菜,清蒸油麦菜,15,1份（100g）≈ 15 kcal,1.0,无油清蒸,0,0,0
86,蔬菜水果类,熟制蔬菜,清煮生菜,13,1份（100g）≈ 13 kcal,1.0,清水焯烫,0,0,0
87,蔬菜水果类,熟制蔬菜,清煮冬瓜,11,1份（100g）≈ 11 kcal,1.0,清水煮,0,0,0
88,蔬菜水果类,熟制蔬菜,清蒸黄瓜,15,1份（100g）≈ 15 kcal,1.0,清蒸,0,0,0
89,蔬菜水果类,熟制蔬菜,清蒸西红柿,15,1份（100g）≈ 15 kcal,1.0,清蒸,0,0,0
90,蔬菜水果类,熟制蔬菜,清煮茄子,23,1份（100g）≈ 23 kcal,1.0,清水煮,0,0,0
91,蔬菜水果类,熟制蔬菜,清蒸青椒,22,1份（100g）≈ 22 kcal,1.0,清蒸,0,0,0
92,蔬菜水果类,熟制蔬菜,清煮丝瓜,20,1份（100g）≈ 20 kcal,1.0,清水煮,0,0,0
93,蔬菜水果类,熟制蔬菜,清煮苦瓜,19,1份（100g）≈ 19 kcal,1.0,清水煮,0,0,0
94,蔬菜水果类,熟制蔬菜,清蒸胡萝卜,37,1根（100g）≈ 37 kcal,1.0,清蒸,0,0,0
95,蔬菜水果类,熟制蔬菜,清煮白萝卜,23,1份（100g）≈ 23 kcal,1.0,清水煮,0,0,0
96,蔬菜水果类,熟制蔬菜,清蒸洋葱,39,1份（100g）≈ 39 kcal,1.0,清蒸,0,0,0
97,蔬菜水果类,熟制蔬菜,清煮金针菇,27,1份（100g）≈ 27 kcal,1.0,清水煮,0,0,0
98,蔬菜水果类,熟制蔬菜,清煮香菇,26,1份（100g）≈ 26 kcal,1.0,清水煮,0,0,0
