food_id,category,sub_category,food_name,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,common_unit,edible_rate,remark
1,主食类,熟制谷薯,白米饭（蒸/煮）,116,2.6,0.3,25.9,1小碗（150g）≈ 174 kcal,1.0,粳米常规蒸煮，无额外添加
2,主食类,熟制谷薯,糙米饭,112,2.6,0.3,24.8,1小碗（150g）≈ 168 kcal,1.0,糙米蒸煮
3,主食类,熟制谷薯,黑米饭,110,3.0,0.3,24.0,1小碗（150g）≈ 165 kcal,1.0,黑米蒸煮
4,主食类,熟制谷薯,小米饭,114,2.3,0.3,25.5,1小碗（150g）≈ 171 kcal,1.0,小米蒸煮
5,主食类,熟制谷薯,杂粮饭,115,2.8,0.4,25.2,1小碗（150g）≈ 172 kcal,1.0,多种杂粮混合蒸煮
6,主食类,熟制谷薯,糯米饭,116,2.4,0.2,26.1,1小碗（150g）≈ 174 kcal,1.0,糯米蒸煮
7,主食类,熟制谷薯,藜麦饭,120,4.4,1.9,21.5,1小碗（150g）≈ 180 kcal,1.0,藜麦蒸煮
8,主食类,熟制谷薯,蒸红薯,88,1.1,0.2,20.7,1个中等（200g）≈ 176 kcal,1.0,红心红薯清蒸
9,主食类,熟制谷薯,蒸紫薯,82,1.2,0.2,18.9,1个中等（200g）≈ 164 kcal,1.0,紫薯清蒸
10,主食类,熟制谷薯,蒸土豆,77,2.1,0.1,16.8,1个中等（150g）≈ 116 kcal,1.0,土豆清蒸
11,主食类,熟制谷薯,蒸山药,57,1.5,0.1,12.6,1段（100g）≈ 57 kcal,1.0,铁棍山药清蒸
12,主食类,熟制谷薯,蒸芋头,79,1.8,0.1,17.5,1个（100g）≈ 79 kcal,1.0,芋头清蒸
13,主食类,熟制谷薯,清煮莲藕,73,1.9,0.1,16.4,1段（100g）≈ 73 kcal,1.0,清水煮莲藕
14,主食类,熟制谷薯,蒸玉米,112,3.2,1.0,22.5,1根（200g）≈ 224 kcal,0.6,带棒玉米，可食部为玉米粒
15,主食类,熟制谷薯,白粥,46,1.1,0.3,9.9,1碗（300g）≈ 138 kcal,1.0,大米稀粥
16,主食类,熟制谷薯,小米粥,46,1.0,0.3,10.0,1碗（300g）≈ 138 kcal,1.0,小米稀粥
17,主食类,熟制谷薯,南瓜粥,35,0.8,0.1,7.9,1碗（300g）≈ 105 kcal,1.0,南瓜大米粥
18,主食类,熟制谷薯,八宝粥（无糖）,85,2.5,0.5,18.0,1碗（300g）≈ 255 kcal,1.0,杂豆杂粮粥
19,主食类,熟制谷薯,煮粉丝,110,0.3,0.1,27.1,1份（150g）≈ 165 kcal,1.0,清水泡发煮熟
20,主食类,熟制谷薯,魔芋丝结,20,0.1,0.0,4.9,1盒（200g）≈ 40 kcal,1.0,即食低卡主食
21,主食类,熟制面制品,煮挂面,113,3.4,0.5,24.2,1碗（200g）≈ 226 kcal,1.0,清水煮熟
22,主食类,熟制面制品,煮拉面,118,3.5,0.5,25.0,1碗（200g）≈ 236 kcal,1.0,清水煮熟
23,主食类,熟制面制品,煮乌冬面,120,3.6,0.4,25.8,1碗（200g）≈ 240 kcal,1.0,清水煮熟
24,主食类,熟制面制品,煮米线,92,1.4,0.2,21.5,1碗（200g）≈ 184 kcal,1.0,清水煮熟
25,主食类,熟制面制品,煮河粉,108,1.0,0.3,25.8,1碗（200g）≈ 216 kcal,1.0,清水煮熟
26,主食类,熟制面制品,煮意大利面,112,4.5,0.6,22.0,1份（200g）≈ 224 kcal,1.0,清水煮熟
27,主食类,熟制面制品,煮荞麦面,110,4.2,0.7,21.8,1碗（200g）≈ 220 kcal,1.0,清水煮熟
28,主食类,熟制面制品,凉皮（无调料）,110,3.0,0.2,24.5,1碗（200g）≈ 220 kcal,1.0,纯面皮无麻酱
29,主食类,熟制面制品,豌豆凉粉,38,0.3,0.1,9.2,1碗（200g）≈ 76 kcal,1.0,纯豌豆淀粉制作
30,主食类,熟制面制品,年糕（煮）,154,2.8,0.3,35.0,1份（100g）≈ 154 kcal,1.0,清水煮年糕
31,主食类,熟制面点,白馒头,223,6.8,1.0,46.5,1个（100g）≈ 223 kcal,1.0,小麦粉发酵蒸制
32,主食类,熟制面点,花卷,211,6.4,1.5,43.5,1个（100g）≈ 211 kcal,1.0,葱油花卷
33,主食类,熟制面点,玉米馒头,208,6.5,1.2,43.0,1个（100g）≈ 208 kcal,1.0,玉米面粉混合
34,主食类,熟制面点,杂粮馒头,210,6.8,1.3,43.2,1个（100g）≈ 210 kcal,1.0,多谷物混合
35,主食类,熟制面点,窝头,207,6.2,1.0,43.5,1个（100g）≈ 207 kcal,1.0,玉米面窝头
36,主食类,熟制面点,发糕,215,5.2,0.8,46.5,1块（100g）≈ 215 kcal,1.0,大米发糕
37,主食类,熟制面点,全麦面包,247,9.0,3.2,45.0,1片（40g）≈ 99 kcal,1.0,全麦粉制作
38,主食类,熟制面点,白吐司面包,312,8.3,5.1,58.6,1片（40g）≈ 125 kcal,1.0,精制小麦粉
39,主食类,熟制面点,软欧包,270,9.5,4.5,48.0,1个（100g）≈ 270 kcal,1.0,软式欧包
40,主食类,熟制面点,碱水面包,285,10.0,3.5,54.0,1个（100g）≈ 285 kcal,1.0,德式碱水包
41,主食类,熟制面点,贝果,265,10.5,1.2,52.5,1个（100g）≈ 265 kcal,1.0,原味贝果
42,主食类,熟制面点,恰巴塔,255,9.5,2.0,50.5,1个（100g）≈ 255 kcal,1.0,意式恰巴塔
43,主食类,熟制面点,猪肉白菜水饺,240,8.0,12.0,24.0,1个（20g）≈ 48 kcal,1.0,煮熟后
